event_id,timestamp,camera_id,species_key,common_name,confidence,confidence_calibrated,temporal_prior,softmax_entropy,review_required,burst_group_id,antler_classification
IE-CAM-F01-feral_hog-000018,2025-03-01T00:19:57,CAM-F01,feral_hog,Feral Hog,0.8991,0.8617,0.9867,0.405,False,BG-CAM-F01-20250301001957,
IE-CAM-T01-raccoon-002611,2025-03-01T06:52:32,CAM-T01,raccoon,Raccoon,0.9063,0.8705,0.3189,0.5799,False,BG-CAM-T01-20250301065232,
IE-CAM-P01-white_tailed_deer-001381,2025-03-01T07:20:43,CAM-P01,white_tailed_deer,White-tailed Deer,0.9292,0.8992,0.9915,0.3293,False,BG-CAM-P01-20250301072043,
IE-CAM-W01-feral_hog-003100,2025-03-01T12:01:02,CAM-W01,feral_hog,Feral Hog,0.8813,0.8403,0.3048,0.6082,True,BG-CAM-W01-20250301120102,
IE-CAM-P02-white_tailed_deer-001622,2025-03-01T17:02:09,CAM-P02,white_tailed_deer,White-tailed Deer,0.9145,0.8807,0.9742,0.3724,False,BG-CAM-P02-20250301170209,
IE-CAM-F03-white_tailed_deer-000816,2025-03-01T18:15:20,CAM-F03,white_tailed_deer,White-tailed Deer,0.9377,0.9101,0.9992,0.3025,False,BG-CAM-F03-20250301181520,
IE-CAM-W01-white_tailed_deer-003252,2025-03-01T19:35:46,CAM-W01,white_tailed_deer,White-tailed Deer,0.9499,0.9261,0.9858,0.2686,False,BG-CAM-W01-20250301193546,
IE-CAM-W01-feral_hog-003101,2025-03-02T02:01:12,CAM-W01,feral_hog,Feral Hog,0.8629,0.8187,0.9709,0.4788,False,BG-CAM-W01-20250302020112,
IE-CAM-F01-raccoon-000147,2025-03-02T02:30:34,CAM-F01,raccoon,Raccoon,0.9702,0.9539,0.8361,0.2572,False,BG-CAM-F01-20250302023034,
IE-CAM-T01-bobcat-002547,2025-03-02T06:27:50,CAM-T01,bobcat,Bobcat,0.8452,0.7984,0.9962,0.5032,False,BG-CAM-T01-20250302062750,
IE-CAM-F03-white_tailed_deer-000817,2025-03-02T07:39:31,CAM-F03,white_tailed_deer,White-tailed Deer,0.8953,0.8571,0.984,0.4139,False,BG-CAM-F03-20250302073931,
IE-CAM-T02-white_tailed_deer-002952,2025-03-02T08:34:09,CAM-T02,white_tailed_deer,White-tailed Deer,0.909,0.8739,0.9503,0.3916,False,BG-CAM-T02-20250302083409,
